Population	N	Mean_PRS	SD_PRS	Mean_Z	Median_Z
FIN	99	0.377628737961212	0.154085176448339	0.466773025590653	0.417905774281141
TSI	107	0.277796892552991	0.145406191805443	-0.176052951044667	-0.199746104652761
GBR	91	0.328938683842857	0.154325391040151	0.153253512222221	0.0902441198020701
CEU	99	0.282849084749394	0.150043299272437	-0.143521443993763	-0.146086298302788
IBS	107	0.265789843807477	0.148045794620727	-0.25336738718257	-0.259235822088819
